Threads	NatarajanTree-OrcGC-100%	NatarajanTree-OrcGC-10%	NatarajanTree-OrcGC-0%	
1	243987	349776	398162	
2	275453	537110	716060	
4	423303	1005681	1478974	
8	658995	1792754	2915233	
16	758267	2893269	5752575	
32	864747	4179942	9198293	
40	887754	4600871	10288080	
48	951465	4600706	10522737	
64	1094752	5101563	10511117	
80	1203682	5575850	10493977	
