Threads	MichaelHarris-LinkedListSet-OrcGC-100%	MichaelHarris-LinkedListSet-OrcGC-10%	MichaelHarris-LinkedListSet-OrcGC-0%	
1	127782	130011	130794	
2	205846	234569	254593	
4	392488	485662	481364	
8	720363	922233	927755	
16	1222792	1775854	1858102	
32	1531830	2269940	2423984	
40	1600816	2354538	2531650	
48	1612391	2366955	2536846	
64	1620041	2356803	2528758	
80	1614745	2353514	2534806	
