Threads	MichaelHarris-LinkedListSet-HazardPointers-100%	MichaelHarris-LinkedListSet-HazardPointers-10%	MichaelHarris-LinkedListSet-HazardPointers-0%	
1	129916	131471	132086	
2	200992	234495	264266	
4	408145	487574	522230	
8	770014	938223	963308	
16	1245451	1599259	1900608	
32	1552476	2052658	2541222	
40	1697067	2259664	2716179	
48	1660825	2254108	2718022	
64	1630015	2246566	2717882	
80	1605292	2240926	2718360	
