Threads	MichaelHarris-LinkedListSet-PassThePointer-100%	MichaelHarris-LinkedListSet-PassThePointer-10%	MichaelHarris-LinkedListSet-PassThePointer-0%	
1	141431	144032	145407	
2	213397	242582	289886	
4	429871	524746	571965	
8	751792	996296	1079804	
16	1071185	1750036	2071419	
32	1371706	2196745	2712819	
40	1473995	2410316	2865762	
48	1555785	2419320	2864896	
64	1688527	2452674	2866034	
80	1746846	2479642	2866494	
