Threads	NatarajanTree-HazardPointers-100%	NatarajanTree-HazardPointers-10%	NatarajanTree-HazardPointers-0%	
1	342749	421665	451695	
2	421961	693148	788014	
4	646904	1258118	1619053	
8	900701	2364029	3180360	
16	1074151	3804379	6294377	
32	1007551	5195286	10667445	
40	1130091	5763090	12242967	
48	1228292	6091046	12399233	
64	1427565	6559361	12519002	
80	1566559	6951468	12468960	
