Threads	MichaelHarris-LinkedListSet-PassTheBuck-100%	MichaelHarris-LinkedListSet-PassTheBuck-10%	MichaelHarris-LinkedListSet-PassTheBuck-0%	
1	132977	138256	140293	
2	206851	241121	265949	
4	414518	510006	513868	
8	721346	951348	1035580	
16	879335	1584830	1888058	
32	1335358	2242481	2471882	
40	842058	2015786	2480565	
48	1192705	2280567	2665862	
64	1106634	2243029	2874644	
80	1426853	2302419	2804798	
