Threads	HerlihyShavit-LockFreeSkipListOrcGCOrig-100%	HerlihyShavit-LockFreeSkipListOrcGCOrig-10%	HerlihyShavit-LockFreeSkipListOrcGCOrig-0%	
1	251357	349585	462175	
2	345451	626958	830219	
4	575393	1189855	1762211	
8	1226275	2328682	3435531	
16	1399422	4023168	6589292	
32	1691115	6090700	10845763	
40	1267579	6923234	13039783	
48	1269638	6802481	12471827	
64	1308495	7273617	12758229	
80	1336475	7415442	13061571	
