Threads	NatarajanTree-PassTheBuck-100%	NatarajanTree-PassTheBuck-10%	NatarajanTree-PassTheBuck-0%	
1	273312	387776	430613	
2	357019	641079	784642	
4	530561	1242534	1603405	
8	858296	2218893	3178833	
16	975748	3637684	6263973	
32	776289	4997730	10627165	
40	900324	5495396	12205543	
48	949801	5609684	12409091	
64	1041989	5861102	12444897	
80	1108367	6092404	12446424	
