Threads	HerlihyShavit-LockFreeSkipListOrcGC-100%	HerlihyShavit-LockFreeSkipListOrcGC-10%	HerlihyShavit-LockFreeSkipListOrcGC-0%	
1	241826	387595	483375	
2	337694	669129	867067	
4	590295	1258852	1730569	
8	1025953	2415789	3479416	
16	1423870	4425573	6395680	
32	1524383	6938633	11398631	
40	1634169	7671883	12358009	
48	1683737	7882838	12479817	
64	1760009	8005744	12497006	
80	1877189	8144201	12753758	
