Threads	HarrisOriginal-LinkedListSet-OrcGC-100%	HarrisOriginal-LinkedListSet-OrcGC-10%	HarrisOriginal-LinkedListSet-OrcGC-0%	
1	107887	109463	110361	
2	181179	200135	215777	
4	346825	410719	427519	
8	639345	779590	810651	
16	1091048	1497062	1572945	
32	1384698	1827595	1918013	
40	1427527	1851936	1921759	
48	1425786	1855972	1922710	
64	1420874	1856307	1924363	
80	1427504	1842146	1921635	
