Threads	NatarajanTree-PassThePointer-100%	NatarajanTree-PassThePointer-10%	NatarajanTree-PassThePointer-0%	
1	281744	316853	326462	
2	338334	544114	613866	
4	452240	920269	1127438	
8	608817	1671713	2034640	
16	769454	2720618	3910466	
32	981421	4487224	7479105	
48	1106883	5432075	9443712	
64	1299922	6384823	11029983	
96	1613340	6917137	9820107	
128	1865628	7228939	10100904	
