Threads	HerlihyShavitHarris-LinkedListSet-OrcGC-100%	HerlihyShavitHarris-LinkedListSet-OrcGC-10%	HerlihyShavitHarris-LinkedListSet-OrcGC-0%	
1	93494	87780	87414	
2	164450	173276	174626	
4	266941	336298	348930	
8	427472	635431	696637	
16	634172	1117807	1392625	
32	942440	1943336	2659953	
48	899682	2070528	3400854	
64	842066	2144228	3890495	
96	824596	2116637	3882027	
128	818928	2068811	3864487	
